,pl_name,hostname,default_flag,sy_pnum,discoverymethod,disc_year,disc_facility,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_rade,pl_bmasse,pl_bmassprov,pl_eqt,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,pl_pubdate,releasedate
2572,HD 95872 b,HD 95872,1,1,Radial Velocity,2015,Multiple Facilities,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,4375,170,-170,,1188.6842,Msini,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5312,0.84,0.7,0.41,[Fe/H],4.43,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h03m27.81s,165.8658796,-22d05m39.59s,-22.0943303,72.2195,9.955,0.007,-0.007,7.956,0.026,-0.026,9.65278,0.000269,-0.000269,2017-03,9/6/2018
2580,HD 96167 b,HD 96167,1,1,Radial Velocity,2009,W. M. Keck Observatory,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,498.04,0.76,-0.76,,227.88411,Msini,,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,,5733,1.94,1.27,,,3.99,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h05m15.02s,166.3125657,-10d17m28.84s,-10.291345,85.3006,8.09,0.03,-0.03,6.554,0.036,-0.036,7.92849,0.000462,-0.000462,2019-04,12/6/2018
2581,HD 96700 b,HD 96700,1,3,Radial Velocity,2021,La Silla Observatory,<a refstr=UNGER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A.104U/abstract target=ref>Unger et al. 2021</a>,8.1245,0.0006,-0.0006,,8.9,Msini,,<a refstr=UNGER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A.104U/abstract target=ref>Unger et al. 2021</a>,G0 V,5845,,0.89,-0.18,[Fe/H],4.39,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h07m53.82s,166.9742616,-30d10m30.50s,-30.1751383,25.4111,6.51,0.03,-0.03,4.995,0.024,-0.024,6.35547,0.000296,-0.000296,2021-10,11/2/2021
2582,HD 96700 c,HD 96700,1,3,Radial Velocity,2021,La Silla Observatory,<a refstr=UNGER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A.104U/abstract target=ref>Unger et al. 2021</a>,19.88,0.01,-0.01,,3.5,Msini,,<a refstr=UNGER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A.104U/abstract target=ref>Unger et al. 2021</a>,G0 V,5845,,0.89,-0.18,[Fe/H],4.39,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h07m53.82s,166.9742616,-30d10m30.50s,-30.1751383,25.4111,6.51,0.03,-0.03,4.995,0.024,-0.024,6.35547,0.000296,-0.000296,2021-10,11/2/2021
2583,HD 96700 d,HD 96700,1,3,Radial Velocity,2021,La Silla Observatory,<a refstr=UNGER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A.104U/abstract target=ref>Unger et al. 2021</a>,103.5,0.1,-0.1,,12.7,Msini,,<a refstr=UNGER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A.104U/abstract target=ref>Unger et al. 2021</a>,G0 V,5845,,0.89,-0.18,[Fe/H],4.39,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h07m53.82s,166.9742616,-30d10m30.50s,-30.1751383,25.4111,6.51,0.03,-0.03,4.995,0.024,-0.024,6.35547,0.000296,-0.000296,2021-10,11/4/2021
2586,HD 97658 b,HD 97658,1,1,Radial Velocity,2010,W. M. Keck Observatory,<a refstr=ELLIS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210706254E/abstract target=ref>Ellis et al. 2021</a>,9.4897116,8.00E-07,-8.00E-07,2.12,8.3,Mass,751,<a refstr=ELLIS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210706254E/abstract target=ref>Ellis et al. 2021</a>,K1 V,5212,0.73,0.85,-0.23,[Fe/H],4.64,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h14m33.04s,168.6376584,+25d42m38.15s,25.7105962,21.5618,7.76,0.03,-0.03,5.734,0.018,-0.018,7.5136,0.000389,-0.000389,2021-07,8/10/2021
2599,HD 98649 b,HD 98649,1,1,Radial Velocity,2012,La Silla Observatory,<a refstr=RICKMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...625A..71R/abstract target=ref>Rickman et al. 2019</a>,6022.9725,412.7325,-255.675,,2158.0657,Msini,,<a refstr=RICKMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...625A..71R/abstract target=ref>Rickman et al. 2019</a>,G3/G5 V,5790,1.01,1.03,0.05,[Fe/H],4.51,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h20m51.54s,170.2147665,-23d13m05.18s,-23.2181063,42.1727,8,0.03,-0.03,6.419,0.021,-0.021,7.82889,0.000231,-0.000231,2019-05,4/11/2019
2600,HD 98736 b,HD 98736,1,1,Radial Velocity,2018,W. M. Keck Observatory,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,968.8,2.2,-2.2,,740.5439,Msini,,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,,5271,0.93,0.92,0.36,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h21m49.18s,170.4549045,+18d11m22.59s,18.1896082,32.4459,7.93,0.03,-0.03,6.028,0.017,-0.017,7.75446,0.000508,-0.000508,2018-11,9/27/2018
2603,HD 99109 b,HD 99109,1,1,Radial Velocity,2005,W. M. Keck Observatory,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,439.29999,5.6,-5.6,,139.8452,Msini,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5282,0.98,0.76,0.35,[Fe/H],4.34,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h24m17.17s,171.0715576,-01d31m47.14s,-1.529761,54.7901,9.1,0.03,-0.03,7.162,0.024,-0.024,8.86823,0.000201,-0.000201,2017-03,9/6/2018
2608,HD 99492 b,HD 99492,1,1,Radial Velocity,2004,W. M. Keck Observatory,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,17.0431,0.0047,-0.0047,,22.2481,Msini,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,4815,0.83,0.48,0.24,[Fe/H],4.28,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h26m45.52s,171.689687,+03d00m25.68s,3.0071331,18.2038,7.56727,0.023,-0.023,5.256,0.017,-0.017,7.26005,0.000411,-0.000411,2017-03,9/6/2018
2614,HIP 105854 b,HIP 105854,1,1,Radial Velocity,2014,Multiple Observatories,<a refstr=JONES_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...566A.113J/abstract target=ref> Jones et al. 2014</a>,184.2,0.5,-0.5,,2606.1,Msini,,<a refstr=JONES_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...566A.113J/abstract target=ref> Jones et al. 2014</a>,K2 III,4780,,2.1,0.31,[Fe/H],2.94,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h26m23.09s,321.5962275,-37d49m46.12s,-37.8294782,78.6381,5.64,0.03,-0.03,2.994,0.232,-0.232,5.28614,0.0022738,-0.0022738,2014-06,6/11/2014
2615,HIP 107772 b,HIP 107772,1,1,Radial Velocity,2020,Multiple Observatories,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200807998F/abstract target=ref>Feng et al. 2020</a>,55.199,0.083,-0.083,,12.9,Msini,,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200807998F/abstract target=ref>Feng et al. 2020</a>,M0 V,,,0.63,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h49m59.45s,327.4977057,-41d14m38.53s,-41.2440371,23.6434,10.56,0.03,-0.03,7.139,0.02,-0.02,9.93207,0.000492,-0.000492,2020-08,9/3/2020
2617,HIP 109384 b,HIP 109384,1,1,Radial Velocity,2016,Haute-Provence Observatory,<a refstr=H_EACUTE_BRARD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...588A.145H/abstract target=ref>H&eacute;brard et al. 2016</a>,499.48,0.32,-0.32,,495.8148,Msini,,<a refstr=H_EACUTE_BRARD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...588A.145H/abstract target=ref>H&eacute;brard et al. 2016</a>,G5,5180,,0.78,-0.26,[Fe/H],4.43,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h09m38.15s,332.408972,+71d18m50.24s,71.313956,58.9582,9.61,0.03,-0.03,7.652,0.016,-0.016,9.387981,0.000241,-0.000241,2016-04,2/25/2016
2618,HIP 109600 b,HIP 109600,1,1,Radial Velocity,2016,Haute-Provence Observatory,<a refstr=H_EACUTE_BRARD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...588A.145H/abstract target=ref>H&eacute;brard et al. 2016</a>,232.08,0.15,-0.15,,851.7844,Msini,,<a refstr=H_EACUTE_BRARD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...588A.145H/abstract target=ref>H&eacute;brard et al. 2016</a>,G5,5530,,0.87,-0.12,[Fe/H],4.45,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h12m06.50s,333.027079,+29d03m58.35s,29.0662082,66.3361,9.18,0.03,-0.03,7.499,0.021,-0.021,9.003861,0.00025,-0.00025,2016-04,2/25/2016
2619,HIP 114933 b,HIP 114933,1,1,Radial Velocity,2021,Multiple Observatories,<a refstr=JONES_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.131J/abstract target=ref>Jones et al. 2021</a>,1481.6,61.7,-61.7,,616.58711,Msini,,<a refstr=JONES_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.131J/abstract target=ref>Jones et al. 2021</a>,K0 III,4823,5.27,1.39,0.06,[Fe/H],2.99,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h16m49.73s,349.2071949,-21d12m11.92s,-21.2033101,101.766,7.25,0.03,-0.03,4.907,0.016,-0.016,6.97658,0.000241,-0.000241,2021-02,5/17/2021
2621,HIP 116454 b,HIP 116454,1,1,Transit,2014,K2,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,9.1205,0.0005,-0.0005,2.466,12.7132,Mass,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5089,0.72,0.81,-0.16,[Fe/H],4.59,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h35m49.04s,353.9543517,+00d26m40.94s,0.4447043,62.4491,10.19,0.03,-0.03,8.029,0.021,-0.021,9.93208,0.000347,-0.000347,2017-03,4/26/2018
2623,HIP 12961 b,HIP 12961,1,1,Radial Velocity,2010,La Silla Observatory,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,57.435,0.042,-0.042,,114.4188,Msini,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,3901,0.65,0.69,-0.14,[Fe/H],4.65,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h46m43.22s,41.6800749,-23d05m09.62s,-23.0860048,23.371,10.25,0.03,-0.03,6.736,0.018,-0.018,9.59893,0.000526,-0.000526,2017-03,9/6/2018
2626,HIP 14810 b,HIP 14810,1,3,Radial Velocity,2005,W. M. Keck Observatory,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,6.673892,8.00E-06,-8.00E-06,,1239.537,Msini,,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,G5,5544,1.07,1.01,0.24,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h11m14.23s,47.809275,+21d05m49.67s,21.0971302,50.48,8.520001,0.03,-0.03,6.828,0.021,-0.021,8.33307,0.000415,-0.000415,2018-11,9/27/2018
2630,HIP 14810 c,HIP 14810,1,3,Radial Velocity,2006,W. M. Keck Observatory,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,147.747,0.029,-0.029,,416.3573,Msini,,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,G5,5544,1.07,1.01,0.24,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h11m14.23s,47.809275,+21d05m49.67s,21.0971302,50.48,8.520001,0.03,-0.03,6.828,0.021,-0.021,8.33307,0.000415,-0.000415,2018-11,9/27/2018
2633,HIP 14810 d,HIP 14810,1,3,Radial Velocity,2009,W. M. Keck Observatory,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,981.8,6.9,-6.9,,187.5197,Msini,,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,G5,5544,1.07,1.01,0.24,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h11m14.23s,47.809275,+21d05m49.67s,21.0971302,50.48,8.520001,0.03,-0.03,6.828,0.021,-0.021,8.33307,0.000415,-0.000415,2018-11,9/27/2018
2634,HIP 35173 b,HIP 35173,1,1,Radial Velocity,2019,Las Campanas Observatory,<a refstr=FENG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..242...25F/abstract target=ref>Feng et al. 2019</a>,41.516,0.077,-0.077,,12.7,Msini,,<a refstr=FENG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..242...25F/abstract target=ref>Feng et al. 2019</a>,K2 V,4881,,0.79,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h16m10.78s,109.0449329,-03d39m58.06s,-3.6661273,33.1562,9.01,0.03,-0.03,6.674,0.026,-0.026,8.70829,0.000356,-0.000356,2019-06,5/23/2019
2635,HIP 38594 b,HIP 38594,1,2,Radial Velocity,2020,Multiple Observatories,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200807998F/abstract target=ref>Feng et al. 2020</a>,60.722,0.122,-0.122,,8.1,Msini,,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200807998F/abstract target=ref>Feng et al. 2020</a>,M0,,,0.61,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h54m10.54s,118.5439118,-25d18m08.31s,-25.3023073,17.7886,9.75,0.1,-0.1,6.169,0.021,-0.021,9.08528,0.000271,-0.000271,2020-08,9/3/2020
2636,HIP 38594 c,HIP 38594,1,2,Radial Velocity,2020,Multiple Observatories,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200807998F/abstract target=ref>Feng et al. 2020</a>,3477.768,229.001,-229.001,,48.4,Msini,,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200807998F/abstract target=ref>Feng et al. 2020</a>,M0,,,0.61,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h54m10.54s,118.5439118,-25d18m08.31s,-25.3023073,17.7886,9.75,0.1,-0.1,6.169,0.021,-0.021,9.08528,0.000271,-0.000271,2020-08,9/3/2020
2649,HIP 4845 b,HIP 4845,1,1,Radial Velocity,2020,Multiple Observatories,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200807998F/abstract target=ref>Feng et al. 2020</a>,34.15,0.046,-0.046,,14.4,Msini,,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200807998F/abstract target=ref>Feng et al. 2020</a>,,,,0.62,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h02m21.16s,15.5881733,-10d25m28.63s,-10.4246208,21.0974,10.06,0.03,-0.03,6.533,0.017,-0.017,9.37826,0.000444,-0.000444,2020-08,9/3/2020
2650,HIP 48714 b,HIP 48714,1,1,Radial Velocity,2020,Multiple Observatories,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200807998F/abstract target=ref>Feng et al. 2020</a>,17.818,0.002,-0.002,,22.9,Msini,,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200807998F/abstract target=ref>Feng et al. 2020</a>,M0.5 Ve,,,0.58,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h56m07.98s,149.0332672,+62d47m09.42s,62.7859505,10.5298,8.99,0.1,-0.1,5.2,0.024,-0.024,8.22861,0.000467,-0.000467,2020-08,9/3/2020
2652,HIP 5158 b,HIP 5158,1,2,Radial Velocity,2009,La Silla Observatory,<a refstr=LO_CURTO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..48L/abstract target=ref> Lo Curto et al. 2010 </a>,345.72,5.37,-5.37,,451,Msini,,<a refstr=LO_CURTO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..48L/abstract target=ref> Lo Curto et al. 2010 </a>,,4962,,0.78,0.1,[Fe/H],4.37,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h06m02.28s,16.5094891,-22d27m13.01s,-22.4536134,51.6026,10.16,0.03,-0.03,7.669,0.02,-0.02,9.80235,0.000248,-0.000248,2010-03,5/14/2014
2654,HIP 5158 c,HIP 5158,1,2,Radial Velocity,2011,La Silla Observatory,<a refstr=FEROZ_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.416L.104F/abstract target=ref> Feroz et al. 2011 </a>,9017.76,3180.74,-3180.74,,4780.1632,Msini,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4813,0.75,0.78,0.17,[M/H],4.58,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h06m02.28s,16.5094891,-22d27m13.01s,-22.4536134,51.6026,10.16,0.03,-0.03,7.669,0.02,-0.02,9.80235,0.000248,-0.000248,2011-09,9/10/2015
2655,HIP 54373 b,HIP 54373,1,2,Radial Velocity,2019,Las Campanas Observatory,<a refstr=FENG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..242...25F/abstract target=ref>Feng et al. 2019</a>,7.76,0.003,-0.003,,8.62,Msini,,<a refstr=FENG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..242...25F/abstract target=ref>Feng et al. 2019</a>,K5 V,4021,,0.57,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h07m27.44s,166.8643532,-19d17m30.07s,-19.2916857,18.7168,10.38,0.1,-0.1,6.62,0.02,-0.02,9.64076,0.000402,-0.000402,2019-06,5/23/2019
2656,HIP 54373 c,HIP 54373,1,2,Radial Velocity,2019,Las Campanas Observatory,<a refstr=FENG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..242...25F/abstract target=ref>Feng et al. 2019</a>,15.144,0.008,-0.008,,12.44,Msini,,<a refstr=FENG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..242...25F/abstract target=ref>Feng et al. 2019</a>,K5 V,4021,,0.57,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h07m27.44s,166.8643532,-19d17m30.07s,-19.2916857,18.7168,10.38,0.1,-0.1,6.62,0.02,-0.02,9.64076,0.000402,-0.000402,2019-06,5/23/2019
2658,HIP 57274 b,HIP 57274,1,3,Radial Velocity,2011,W. M. Keck Observatory,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,8.1352,0.004,-0.004,,6.3566,Msini,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,4510,0.78,0.29,0.01,[Fe/H],4.11,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h44m40.93s,176.1705487,+30d57m27.53s,30.9576484,25.8618,8.97,0.03,-0.03,6.286,0.021,-0.021,8.57069,0.000434,-0.000434,2017-03,9/6/2018
2661,HIP 57274 c,HIP 57274,1,3,Radial Velocity,2011,W. M. Keck Observatory,<a refstr=FISCHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...745...21F/abstract target=ref> Fischer et al. 2012 </a>,32.03,0.02,-0.02,,130,Msini,,<a refstr=FISCHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...745...21F/abstract target=ref> Fischer et al. 2012 </a>,K4 V,4640,0.68,0.73,0.09,[Fe/H],4.71,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h44m40.93s,176.1705487,+30d57m27.53s,30.9576484,25.8618,8.97,0.03,-0.03,6.286,0.021,-0.021,8.57069,0.000434,-0.000434,2012-01,4/24/2015
2662,HIP 57274 d,HIP 57274,1,3,Radial Velocity,2011,W. M. Keck Observatory,<a refstr=FISCHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...745...21F/abstract target=ref> Fischer et al. 2012 </a>,431.7,8.5,-8.5,,167.4,Msini,,<a refstr=FISCHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...745...21F/abstract target=ref> Fischer et al. 2012 </a>,K4 V,4640,0.68,0.73,0.09,[Fe/H],4.71,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h44m40.93s,176.1705487,+30d57m27.53s,30.9576484,25.8618,8.97,0.03,-0.03,6.286,0.021,-0.021,8.57069,0.000434,-0.000434,2012-01,3/26/2015
2664,HIP 65 A b,HIP 65 A,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200305932N/abstract target=ref>Nielsen et al. 2020</a>,0.9809734,3.10E-06,-3.10E-06,22.754,1021.18779,Mass,1411,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200305932N/abstract target=ref>Nielsen et al. 2020</a>,K4 V,4590,0.72,0.78,0.18,[Fe/H],4.61,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h00m44.55s,0.1856063,-54d49m50.96s,-54.8308228,61.7856,11,0.03,-0.03,8.29,0.025,-0.025,10.5895,0.000446,-0.000446,2020-03,7/23/2020
